"Metric",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Chao1","Value","Control","Treat1",3,3,-3.286335345031,0.00101500094711307,0.0101500094711307,"*"
"Chao1","Value","Control","Treat2",3,3,-1.6431676725155,0.100348246462291,0.167247077437151,"ns"
"Chao1","Value","Control","Treat3",3,3,-0.821583836257749,0.411313791776259,0.411313791776259,"ns"
"Chao1","Value","Control","Treat4",3,3,-2.46475150877325,0.0137108300781332,0.0457027669271108,"*"
"Chao1","Value","Treat1","Treat2",3,3,1.6431676725155,0.100348246462291,0.167247077437151,"ns"
"Chao1","Value","Treat1","Treat3",3,3,2.46475150877325,0.0137108300781332,0.0457027669271108,"*"
"Chao1","Value","Treat1","Treat4",3,3,0.821583836257749,0.411313791776259,0.411313791776259,"ns"
"Chao1","Value","Treat2","Treat3",3,3,0.821583836257749,0.411313791776259,0.411313791776259,"ns"
"Chao1","Value","Treat2","Treat4",3,3,-0.821583836257749,0.411313791776259,0.411313791776259,"ns"
"Chao1","Value","Treat3","Treat4",3,3,-1.6431676725155,0.100348246462291,0.167247077437151,"ns"
"Faith_pd","Value","Control","Treat1",3,3,-3.286335345031,0.00101500094711307,0.0101500094711307,"*"
"Faith_pd","Value","Control","Treat2",3,3,-1.6431676725155,0.100348246462291,0.167247077437151,"ns"
"Faith_pd","Value","Control","Treat3",3,3,-0.821583836257749,0.411313791776259,0.411313791776259,"ns"
"Faith_pd","Value","Control","Treat4",3,3,-2.46475150877325,0.0137108300781332,0.0457027669271108,"*"
"Faith_pd","Value","Treat1","Treat2",3,3,1.6431676725155,0.100348246462291,0.167247077437151,"ns"
"Faith_pd","Value","Treat1","Treat3",3,3,2.46475150877325,0.0137108300781332,0.0457027669271108,"*"
"Faith_pd","Value","Treat1","Treat4",3,3,0.821583836257749,0.411313791776259,0.411313791776259,"ns"
"Faith_pd","Value","Treat2","Treat3",3,3,0.821583836257749,0.411313791776259,0.411313791776259,"ns"
"Faith_pd","Value","Treat2","Treat4",3,3,-0.821583836257749,0.411313791776259,0.411313791776259,"ns"
"Faith_pd","Value","Treat3","Treat4",3,3,-1.6431676725155,0.100348246462291,0.167247077437151,"ns"
"Shannon","Value","Control","Treat1",3,3,-3.286335345031,0.00101500094711307,0.0101500094711307,"*"
"Shannon","Value","Control","Treat2",3,3,-2.46475150877325,0.0137108300781332,0.0587403032077481,"ns"
"Shannon","Value","Control","Treat3",3,3,-0.912870929175277,0.361310428526179,0.451638035657723,"ns"
"Shannon","Value","Control","Treat4",3,3,-1.55188057959797,0.120690800527446,0.201151334212409,"ns"
"Shannon","Value","Treat1","Treat2",3,3,0.821583836257749,0.411313791776259,0.457015324195843,"ns"
"Shannon","Value","Treat1","Treat3",3,3,2.37346441585572,0.0176220909623244,0.0587403032077481,"ns"
"Shannon","Value","Treat1","Treat4",3,3,1.73445476543303,0.0828374251588063,0.201151334212409,"ns"
"Shannon","Value","Treat2","Treat3",3,3,1.55188057959797,0.120690800527446,0.201151334212409,"ns"
"Shannon","Value","Treat2","Treat4",3,3,0.912870929175277,0.361310428526179,0.451638035657723,"ns"
"Shannon","Value","Treat3","Treat4",3,3,-0.639009650422694,0.522816653919089,0.522816653919089,"ns"
"Simpson","Value","Control","Treat1",3,3,-3.286335345031,0.00101500094711307,0.0101500094711307,"*"
"Simpson","Value","Control","Treat2",3,3,-1.6431676725155,0.100348246462291,0.167247077437151,"ns"
"Simpson","Value","Control","Treat3",3,3,-2.46475150877325,0.0137108300781332,0.0457027669271108,"*"
"Simpson","Value","Control","Treat4",3,3,-0.821583836257749,0.411313791776259,0.411313791776259,"ns"
"Simpson","Value","Treat1","Treat2",3,3,1.6431676725155,0.100348246462291,0.167247077437151,"ns"
"Simpson","Value","Treat1","Treat3",3,3,0.821583836257749,0.411313791776259,0.411313791776259,"ns"
"Simpson","Value","Treat1","Treat4",3,3,2.46475150877325,0.0137108300781332,0.0457027669271108,"*"
"Simpson","Value","Treat2","Treat3",3,3,-0.821583836257749,0.411313791776259,0.411313791776259,"ns"
"Simpson","Value","Treat2","Treat4",3,3,0.821583836257749,0.411313791776259,0.411313791776259,"ns"
"Simpson","Value","Treat3","Treat4",3,3,1.6431676725155,0.100348246462291,0.167247077437151,"ns"
