"Metric","Group","n","mean","sd","kw_p","dunn_q_vs_control","dunn_q_signif"
"Chao1","Control",3,6522.52946136142,24.6216472612893,0.00907,NA,NA
"Chao1","Treat1",3,5527.19592743988,5.66331600369684,0.00907,0.0101500094711307,"*"
"Chao1","Treat2",3,5949.90621421226,24.2164604824437,0.00907,0.167247077437151,"ns"
"Chao1","Treat3",3,6135.9132572997,30.947603784416,0.00907,0.411313791776259,"ns"
"Chao1","Treat4",3,5877.52104737122,19.2270352396444,0.00907,0.0457027669271108,"*"
"Faith_pd","Control",3,11390.7644297447,12.452189221147,0.00907,NA,NA
"Faith_pd","Treat1",3,9863.25099087334,12.3007937073097,0.00907,0.0101500094711307,"*"
"Faith_pd","Treat2",3,10482.2700246511,2.6820245335569,0.00907,0.167247077437151,"ns"
"Faith_pd","Treat3",3,10763.1369892908,31.6604442399092,0.00907,0.411313791776259,"ns"
"Faith_pd","Treat4",3,10360.8202374422,28.0604980477942,0.00907,0.0457027669271108,"*"
"Shannon","Control",3,11.5992342485102,0.0116772776255828,0.0102,NA,NA
"Shannon","Treat1",3,11.3123578622183,0.00734634194889378,0.0102,0.0101500094711307,"*"
"Shannon","Treat2",3,11.4631732497545,0.0015638662759516,0.0102,0.0587403032077481,"ns"
"Shannon","Treat3",3,11.5017139839545,0.0059418364057965,0.0102,0.451638035657723,"ns"
"Shannon","Treat4",3,11.4913329143819,0.00930262326271351,0.0102,0.201151334212409,"ns"
"Simpson","Control",3,0.999340350237068,7.45763512685193e-06,0.00907,NA,NA
"Simpson","Treat1",3,0.999202885862669,9.31400621867085e-06,0.00907,0.0101500094711307,"*"
"Simpson","Treat2",3,0.999298241663392,1.81454756516676e-06,0.00907,0.167247077437151,"ns"
"Simpson","Treat3",3,0.99928866137285,4.6623517913273e-06,0.00907,0.0457027669271108,"*"
"Simpson","Treat4",3,0.999320219191525,8.19781925759899e-06,0.00907,0.411313791776259,"ns"
