"node","module","degree","betweenness","is_hub"
"[Polyangium]_brachysporum_group","1",10,61,TRUE
"Candidatus_Kerfeldbacteria","2",6,0,FALSE
"Silvanigrella","1",4,9,FALSE
"Shinella","3",6,56,FALSE
"Chthoniobacteraceae","2",13,268,TRUE
"Catellatospora","4",4,29,FALSE
"Barnesiella","4",7,55,FALSE
"Nitrosomonas","4",7,52,FALSE
"Erysipelatoclostridium","4",10,212,TRUE
"Candidatus_Odyssella","5",3,52,FALSE
"Ligilactobacillus","4",10,25,TRUE
"Brevifollis","3",5,0,FALSE
"Cellulosimicrobium","1",4,22,FALSE
"Stackebrandtia","2",8,72,FALSE
"Azotobacter","2",6,0,FALSE
"Thermobaculum","5",7,13,FALSE
"Elev-16S-976","1",5,28,FALSE
"Parvibaculum","2",8,0,FALSE
"Candidatus_Komeilibacteria","5",7,31,FALSE
"Candidatus_Roizmanbacteria","5",6,0,FALSE
"AAP99","3",5,0,FALSE
"Lacibacter","4",6,73,FALSE
"Nostoc_PCC-7107","5",6,0,FALSE
"Virgibacillus","5",7,20,FALSE
"Actinospica","2",3,0,FALSE
"Candidatus_Soleaferrea","1",3,7,FALSE
"WOR-1","3",5,0,FALSE
"Brachybacterium","4",10,116,TRUE
"Niabella","2",6,0,FALSE
"FCPU426","3",5,9,FALSE
"Chujaibacter","5",7,0,FALSE
"Pseudaminobacter","4",10,46.5,TRUE
"Sphingorhabdus","4",6,5,FALSE
"Mycoplasma","4",2,0,FALSE
"Rickettsia","1",2,6,FALSE
"Pontibacter","2",3,0,FALSE
"Bradymonadales","4",3,14,FALSE
"Paludisphaera","2",10,88,TRUE
"Oceanobacillus","5",7,31,FALSE
"Roseiflexus","4",10,3.5,TRUE
