"Phylum","test","group1","group2","z","p_value","p_adj","p_adj_method","p_adj_scope"
"Armatimonadota","Kruskal-Wallis",NA,NA,NA,0.0144036518927887,0.0356279675830147,"BH","across_phyla"
"Armatimonadota","Dunn","0","100",1.18673220792786,0.235333266509586,0.33619038072798,"BH","within_phylum"
"Armatimonadota","Dunn","0","25",-1.18673220792786,0.235333266509586,0.33619038072798,"BH","within_phylum"
"Armatimonadota","Dunn","0","50",0.182574185835055,0.855132140584706,0.855132140584706,"BH","within_phylum"
"Armatimonadota","Dunn","0","75",2.09960313710314,0.0357637665909779,0.11921255530326,"BH","within_phylum"
"Armatimonadota","Dunn","25","100",2.37346441585572,0.0176220909623244,0.0881104548116221,"BH","within_phylum"
"Armatimonadota","Dunn","25","50",1.36930639376292,0.170903520230797,0.33619038072798,"BH","within_phylum"
"Armatimonadota","Dunn","25","75",3.286335345031,0.00101500094711307,0.0101500094711307,"BH","within_phylum"
"Armatimonadota","Dunn","50","100",1.0041580220928,0.315302452081745,0.394128065102182,"BH","within_phylum"
"Armatimonadota","Dunn","50","75",1.91702895126808,0.0552342537180638,0.13808563429516,"BH","within_phylum"
"Armatimonadota","Dunn","75","100",-0.912870929175277,0.361310428526179,0.401456031695754,"BH","within_phylum"
"Bdellovibrionota","Kruskal-Wallis",NA,NA,NA,0.0285023740664118,0.0356279675830147,"BH","across_phyla"
"Bdellovibrionota","Dunn","0","100",-2.46475150877325,0.0137108300781332,0.0587403032077481,"BH","within_phylum"
"Bdellovibrionota","Dunn","0","25",-0.821583836257749,0.411313791776259,0.587591131108941,"BH","within_phylum"
"Bdellovibrionota","Dunn","0","50",-2.55603860169078,0.0105871373340569,0.0587403032077481,"BH","within_phylum"
"Bdellovibrionota","Dunn","0","75",-2.37346441585572,0.0176220909623244,0.0587403032077481,"BH","within_phylum"
"Bdellovibrionota","Dunn","25","100",-1.6431676725155,0.100348246462291,0.200696492924581,"BH","within_phylum"
"Bdellovibrionota","Dunn","25","50",-1.73445476543303,0.0828374251588063,0.200696492924581,"BH","within_phylum"
"Bdellovibrionota","Dunn","25","75",-1.55188057959797,0.120690800527446,0.201151334212409,"BH","within_phylum"
"Bdellovibrionota","Dunn","50","100",0.0912870929175279,0.927264473525232,0.927264473525232,"BH","within_phylum"
"Bdellovibrionota","Dunn","50","75",0.182574185835056,0.855132140584706,0.927264473525232,"BH","within_phylum"
"Bdellovibrionota","Dunn","75","100",-0.0912870929175279,0.927264473525232,0.927264473525232,"BH","within_phylum"
"Desulfobacterota","Kruskal-Wallis",NA,NA,NA,0.0265640143500164,0.0356279675830147,"BH","across_phyla"
"Desulfobacterota","Dunn","0","100",-2.82989988044336,0.00465625724712585,0.0465625724712585,"BH","within_phylum"
"Desulfobacterota","Dunn","0","25",-0.365148371670111,0.715000654688089,0.715000654688089,"BH","within_phylum"
"Desulfobacterota","Dunn","0","50",-1.6431676725155,0.100348246462291,0.200696492924581,"BH","within_phylum"
"Desulfobacterota","Dunn","0","75",-2.00831604418561,0.0446097180249396,0.148699060083132,"BH","within_phylum"
"Desulfobacterota","Dunn","25","100",-2.46475150877325,0.0137108300781332,0.0685541503906661,"BH","within_phylum"
"Desulfobacterota","Dunn","25","50",-1.27801930084539,0.201242620957724,0.335404368262873,"BH","within_phylum"
"Desulfobacterota","Dunn","25","75",-1.6431676725155,0.100348246462291,0.200696492924581,"BH","within_phylum"
"Desulfobacterota","Dunn","50","100",-1.18673220792786,0.235333266509586,0.33619038072798,"BH","within_phylum"
"Desulfobacterota","Dunn","50","75",-0.365148371670111,0.715000654688089,0.715000654688089,"BH","within_phylum"
"Desulfobacterota","Dunn","75","100",-0.821583836257749,0.411313791776259,0.514142239720324,"BH","within_phylum"
"Patescibacteria","Kruskal-Wallis",NA,NA,NA,0.0273235615311107,0.0356279675830147,"BH","across_phyla"
"Patescibacteria","Dunn","0","100",2.00831604418561,0.0446097180249396,0.148699060083132,"BH","within_phylum"
"Patescibacteria","Dunn","0","25",0.912870929175277,0.361310428526179,0.451638035657723,"BH","within_phylum"
"Patescibacteria","Dunn","0","50",1.27801930084539,0.201242620957724,0.390459540417569,"BH","within_phylum"
"Patescibacteria","Dunn","0","75",3.10376115919594,0.00191077513736444,0.0191077513736444,"BH","within_phylum"
"Patescibacteria","Dunn","25","100",1.09544511501033,0.273321678292298,0.390459540417569,"BH","within_phylum"
"Patescibacteria","Dunn","25","50",0.365148371670111,0.715000654688089,0.715000654688089,"BH","within_phylum"
"Patescibacteria","Dunn","25","75",2.19089023002066,0.0284597369163106,0.142298684581553,"BH","within_phylum"
"Patescibacteria","Dunn","50","100",0.730296743340221,0.465208818452142,0.516898687169047,"BH","within_phylum"
"Patescibacteria","Dunn","50","75",1.82574185835055,0.067889154861829,0.169722887154573,"BH","within_phylum"
"Patescibacteria","Dunn","75","100",-1.09544511501033,0.273321678292298,0.390459540417569,"BH","within_phylum"
"unclassified_Bacteria","Kruskal-Wallis",NA,NA,NA,0.0470784788652415,0.0470784788652415,"BH","across_phyla"
"unclassified_Bacteria","Dunn","0","100",-1.55188057959797,0.120690800527446,0.301727001318614,"BH","within_phylum"
"unclassified_Bacteria","Dunn","0","25",1.36930639376292,0.170903520230797,0.335404368262873,"BH","within_phylum"
"unclassified_Bacteria","Dunn","0","50",-0.912870929175277,0.361310428526179,0.516157755037398,"BH","within_phylum"
"unclassified_Bacteria","Dunn","0","75",-0.273861278752583,0.784191229401619,0.784191229401619,"BH","within_phylum"
"unclassified_Bacteria","Dunn","25","100",-2.92118697336089,0.00348700489214138,0.0348700489214138,"BH","within_phylum"
"unclassified_Bacteria","Dunn","25","50",-2.28217732293819,0.0224788733661253,0.112394366830626,"BH","within_phylum"
"unclassified_Bacteria","Dunn","25","75",-1.6431676725155,0.100348246462291,0.301727001318614,"BH","within_phylum"
"unclassified_Bacteria","Dunn","50","100",-0.639009650422694,0.522816653919089,0.580907393243432,"BH","within_phylum"
"unclassified_Bacteria","Dunn","50","75",0.639009650422694,0.522816653919089,0.580907393243432,"BH","within_phylum"
"unclassified_Bacteria","Dunn","75","100",-1.27801930084539,0.201242620957724,0.335404368262873,"BH","within_phylum"
